#,Shipment_ID,Molecule Name,HS Code,Formulation,Exporter Country,Importer Country,Shipment Month,Volume (KG),Unit Value (USD/KG),Total Value (USD),Trade Type,Mode of Transport,Port of Loading,Port of Discharge,Incoterm,Manufacturer,Customs Status,Data Source Tag
18,EXIM-249715,Imatinib,3004.90,Oral Capsule,Switzerland,UK,Oct-24,14972.4,333.09,"4,987,156.72",Re-export,Air,Geneva,Heathrow,FOB,Teva,Cleared,EXIM_MOCK_v1
19,EXIM-734487,Imatinib,3004.90,Oral Capsule,Switzerland,Australia,Nov-24,11730.6,46.58,"546,411.35",Re-export,Air,Zurich,Sydney,CIF,Teva,Released with Bond,EXIM_MOCK_v1
20,EXIM-429657,Imatinib,3004.90,Oral Capsule,Germany,Italy,Aug-24,14234.9,449.56,"6,399,441.64",Re-export,Air,Frankfurt Air,Genoa,DAP,Lupin,Under Review,EXIM_MOCK_v1
21,EXIM-912609,Imatinib,3004.90,Oral Capsule,France,Brazil,Apr-24,14409.8,35.97,"518,320.51",Re-export,Sea,CDG Paris,Sao Paulo GRU,DDP,Lupin,Cleared,EXIM_MOCK_v1
22,EXIM-281043,Imatinib,3004.90,Oral Capsule,Brazil,Netherlands,Aug-24,3257.8,736.19,"2,398,359.78",Re-export,Rail,Santos,Amsterdam Schiphol,CIF,Cipla,Cleared,EXIM_MOCK_v1
23,EXIM-992717,Imatinib,3004.90,Oral Capsule,Mexico,Italy,Aug-24,14959.1,973.56,"14,563,581.40",Re-export,Road,Veracruz,Genoa,CPT,Dr. Reddy's,Released with Bond,EXIM_MOCK_v1
24,EXIM-348235,Imatinib,3004.90,Oral Capsule,Germany,Netherlands,Dec-24,13913.5,767.05,"10,672,350.17",Re-export,Road,Hamburg,Rotterdam,DAP,Dr. Reddy's,Under Review,EXIM_MOCK_v1
25,EXIM-851759,Sildenafil,3004.90,Oral Tablet,India,Japan,Sep-24,8605.5,563.55,"4,849,629.52",Export,Courier,Chennai Sea,Osaka Kobe,CIF,Dr. Reddy's,Cleared,EXIM_MOCK_v1
26,EXIM-588461,Sildenafil,3004.90,Oral Tablet,Italy,South Korea,Sep-24,6191.4,494.27,"3,060,223.28",Re-export,Courier,Milan Malpensa,Busan,FOB,Teva,Under Review,EXIM_MOCK_v1
27,EXIM-971776,Sildenafil,3004.90,Oral Tablet,France,Canada,Jun-24,1968.6,995.72,"1,960,174.39",Re-export,Courier,Marseille,Toronto Pearson,CPT,Cipla,Under Review,EXIM_MOCK_v1
28,EXIM-765905,Sildenafil,3004.90,Oral Tablet,USA,Australia,Mar-24,4596.7,198.55,"912,674.79",Re-export,Sea,New York JFK,Sydney,EXW,Dr. Reddy's,Released with Bond,EXIM_MOCK_v1
29,EXIM-790731,Sildenafil,3004.90,Oral Tablet,Canada,Brazil,Mar-24,9394.1,739.24,"6,944,494.48",Re-export,Air,Toronto Pearson,Santos,DAP,Torrent,Under Review,EXIM_MOCK_v1
30,EXIM-782759,Sildenafil,3004.90,Oral Tablet,Australia,Netherlands,Mar-25,9096.8,1011.82,"9,204,324.18",Re-export,Courier,Sydney,Amsterdam Schiphol,FOB,Dr. Reddy's,Cleared,EXIM_MOCK_v1
31,EXIM-356773,Sildenafil,3004.90,Oral Tablet,China,Switzerland,Oct-24,6278,768.59,"4,825,208.02",Re-export,Rail,Shenzhen,Zurich,CPT,Hetero,Released with Bond,EXIM_MOCK_v1
32,EXIM-313933,Sildenafil,3004.90,Oral Tablet,Netherlands,Switzerland,Nov-24,6121.1,546.99,"3,348,180.49",Re-export,Air,Amsterdam Schiphol,Zurich,CIF,Sandoz,Cleared,EXIM_MOCK_v1
33,EXIM-353480,Sildenafil,3004.90,Oral Tablet,UK,France,Mar-24,4723.1,863.44,"4,078,113.46",Re-export,Road,Heathrow,Marseille,DDP,Teva,Under Review,EXIM_MOCK_v1
34,EXIM-267457,Sildenafil,3004.90,Oral Tablet,South Korea,USA,May-24,6771.5,173.35,"1,173,839.52",Re-export,Air,Busan,Los Angeles,EXW,Torrent,Cleared,EXIM_MOCK_v1
35,EXIM-124302,Sildenafil,3004.90,Oral Tablet,Switzerland,UK,Mar-25,8686.4,378.69,"3,289,452.82",Re-export,Sea,Zurich,Felixstowe,DDP,Hikma,Cleared,EXIM_MOCK_v1
36,EXIM-726543,Sildenafil,3004.90,Oral Tablet,USA,South Korea,Sep-24,6885.6,292.67,"2,015,208.55",Re-export,Courier,New York JFK,Busan,EXW,Sun Pharma,Cleared,EXIM_MOCK_v1
37,EXIM-900961,Sildenafil,3004.90,Oral Tablet,Mexico,Switzerland,Nov-24,10104.2,346.47,"3,500,802.17",Re-export,Air,Veracruz,Zurich,FOB,Cipla,Cleared,EXIM_MOCK_v1
38,EXIM-901535,Sildenafil,3004.90,Oral Tablet,Japan,UK,Jan-24,6038.7,686.49,"4,145,507.16",Re-export,Sea,Osaka Kobe,Felixstowe,EXW,Dr. Reddy's,Released with Bond,EXIM_MOCK_v1
39,EXIM-684929,Sildenafil,3004.90,Oral Tablet,Canada,Brazil,Feb-25,14836.9,818.08,"12,137,771.15",Re-export,Air,Vancouver,Sao Paulo GRU,CIF,Sandoz,Cleared,EXIM_MOCK_v1
40,EXIM-644559,Thalidomide,3004.90,Oral Capsule,Netherlands,Germany,Apr-24,9056.8,484.66,"4,389,468.69",Re-export,Air,Amsterdam Schiphol,Frankfurt Air,FOB,Cipla,Cleared,EXIM_MOCK_v1
41,EXIM-631958,Thalidomide,3004.90,Oral Capsule,South Korea,Germany,Oct-24,13402.3,172.04,"2,305,731.69",Re-export,Courier,Busan,Frankfurt Air,EXW,Sandoz,Under Review,EXIM_MOCK_v1
42,EXIM-712056,Thalidomide,3004.90,Oral Capsule,Switzerland,Canada,Sep-24,7373.2,677.69,"4,996,743.91",Re-export,Rail,Geneva,Vancouver,FOB,Teva,Released with Bond,EXIM_MOCK_v1
43,EXIM-711868,Thalidomide,3004.90,Oral Capsule,Brazil,Switzerland,Mar-25,10893.6,827.21,"9,011,294.86",Re-export,Air,Santos,Geneva,DAP,Mylan,Cleared,EXIM_MOCK_v1
44,EXIM-119857,Thalidomide,3004.90,Oral Capsule,South Korea,Germany,Sep-24,9453.9,745.58,"7,048,638.76",Re-export,Rail,Incheon,Hamburg,CIF,Sun Pharma,Under Review,EXIM_MOCK_v1
45,EXIM-688132,Thalidomide,3004.90,Oral Capsule,South Korea,UK,Jul-24,2313.9,830.15,"1,920,884.08",Re-export,Rail,Incheon,Heathrow,DAP,Sun Pharma,Cleared,EXIM_MOCK_v1
46,EXIM-739711,Thalidomide,3004.90,Oral Capsule,UK,Italy,Aug-24,7905.9,379.93,"3,003,688.59",Re-export,Sea,Felixstowe,Genoa,DDP,Lupin,Released with Bond,EXIM_MOCK_v1
47,EXIM-465746,Thalidomide,3004.90,Oral Capsule,South Korea,China,Apr-24,4221.1,361.71,"1,526,814.08",Re-export,Road,Busan,Shenzhen,EXW,Hikma,Under Review,EXIM_MOCK_v1
48,EXIM-144109,Thalidomide,3004.90,Oral Capsule,Canada,Switzerland,Dec-24,4138.2,150.64,"623,378.45",Re-export,Courier,Toronto Pearson,Zurich,DDP,Teva,Cleared,EXIM_MOCK_v1
49,EXIM-689318,Thalidomide,3004.90,Oral Capsule,Brazil,Netherlands,Feb-24,5228.1,533.64,"2,789,923.28",Re-export,Road,Santos,Amsterdam Schiphol,CPT,Aurobindo,Cleared,EXIM_MOCK_v1
50,EXIM-155040,Thalidomide,3004.90,Oral Capsule,Italy,Brazil,Mar-24,1682.9,890.36,"1,498,386.84",Re-export,Sea,Milan Malpensa,Santos,CIF,Hetero,Cleared,EXIM_MOCK_v1
51,EXIM-600641,Thalidomide,3004.90,Oral Capsule,USA,South Korea,Jun-24,10774.5,125.15,"1,348,428.68",Re-export,Sea,Houston,Busan,FOB,Sandoz,Under Review,EXIM_MOCK_v1
52,EXIM-538184,Thalidomide,3004.90,Oral Capsule,France,China,Jan-25,14460.5,388.8,"5,622,242.40",Re-export,Air,CDG Paris,Shanghai,FOB,Lupin,Under Review,EXIM_MOCK_v1
53,EXIM-398384,Rapamycin,3004.90,Oral Tablet,Mexico,India,Feb-25,5985.1,596.98,"3,572,985.00",Import,Road,Mexico City,Chennai Sea,FOB,Mylan,Cleared,EXIM_MOCK_v1
54,EXIM-446747,Rapamycin,3004.90,Oral Tablet,South Korea,Italy,Sep-24,7888.6,1067.67,"8,422,421.56",Re-export,Sea,Incheon,Milan Malpensa,DAP,Mylan,Cleared,EXIM_MOCK_v1
55,EXIM-740632,Rapamycin,3004.90,Oral Tablet,Germany,Netherlands,Aug-24,9741.9,863.72,"8,414,273.87",Re-export,Air,Hamburg,Rotterdam,CPT,Mylan,Released with Bond,EXIM_MOCK_v1
56,EXIM-247442,Rapamycin,3004.90,Oral Tablet,Switzerland,France,Mar-25,6112.1,516.11,"3,154,515.93",Re-export,Road,Geneva,CDG Paris,FOB,Hetero,Cleared,EXIM_MOCK_v1
57,EXIM-374258,Rapamycin,3004.90,Oral Tablet,South Korea,UK,Mar-25,3758.3,316.64,"1,190,028.11",Re-export,Sea,Busan,Heathrow,DDP,Teva,Released with Bond,EXIM_MOCK_v1
58,EXIM-769737,Rapamycin,3004.90,Oral Tablet,France,UK,Dec-24,3582.7,803,"2,876,908.10",Re-export,Rail,Marseille,Heathrow,EXW,Sandoz,Under Review,EXIM_MOCK_v1
59,EXIM-836038,Rapamycin,3004.90,Oral Tablet,Mexico,Brazil,Jun-24,9238.7,266.86,"2,465,439.48",Re-export,Sea,Veracruz,Sao Paulo GRU,DDP,Hikma,Under Review,EXIM_MOCK_v1
60,EXIM-181896,Rapamycin,3004.90,Oral Tablet,Canada,South Korea,Jan-25,8085.9,798.59,"6,457,318.88",Re-export,Sea,Vancouver,Busan,CIF,Lupin,Cleared,EXIM_MOCK_v1
61,EXIM-221886,Rapamycin,3004.90,Oral Tablet,Mexico,Australia,Feb-24,973.3,659.44,"641,832.95",Re-export,Courier,Veracruz,Melbourne,CIF,Cipla,Under Review,EXIM_MOCK_v1
62,EXIM-578987,Rapamycin,3004.90,Oral Tablet,France,China,Dec-24,8768.1,113.68,"996,757.61",Re-export,Courier,CDG Paris,Shenzhen,DDP,Hikma,Cleared,EXIM_MOCK_v1
63,EXIM-706403,Doxycycline,3004.90,Oral Capsule,India,Australia,Aug-24,10107.9,373.26,"3,772,874.75",Export,Air,Delhi Air,Sydney,DDP,Sun Pharma,Released with Bond,EXIM_MOCK_v1
64,EXIM-288724,Doxycycline,3004.90,Oral Capsule,USA,India,Jul-24,5200.7,81.19,"422,244.83",Import,Air,New York JFK,Chennai Sea,FOB,Sun Pharma,Cleared,EXIM_MOCK_v1
65,EXIM-184148,Doxycycline,3004.90,Oral Capsule,Netherlands,Germany,Jan-25,9640.8,876.5,"8,450,161.20",Re-export,Rail,Amsterdam Schiphol,Frankfurt Air,EXW,Hikma,Cleared,EXIM_MOCK_v1
66,EXIM-863214,Doxycycline,3004.90,Oral Capsule,France,Italy,Feb-25,8112.5,785.97,"6,376,181.62",Re-export,Road,Marseille,Milan Malpensa,FOB,Lupin,Under Review,EXIM_MOCK_v1
67,EXIM-359535,Doxycycline,3004.90,Oral Capsule,China,Mexico,Jan-24,11354.9,1174.3,"13,334,059.07",Re-export,Rail,Shenzhen,Mexico City,CPT,Lupin,Cleared,EXIM_MOCK_v1
68,EXIM-316092,Doxycycline,3004.90,Oral Capsule,South Korea,UK,Mar-24,4171,1125.21,"4,693,250.91",Re-export,Air,Incheon,Heathrow,FOB,Torrent,Cleared,EXIM_MOCK_v1
69,EXIM-665979,Doxycycline,3004.90,Oral Capsule,USA,Germany,Oct-24,552,719.35,"397,081.20",Re-export,Air,New York JFK,Hamburg,CIF,Sandoz,Cleared,EXIM_MOCK_v1
70,EXIM-416422,Doxycycline,3004.90,Oral Capsule,China,Switzerland,Feb-25,11652.2,172.46,"2,009,538.41",Re-export,Road,Shenzhen,Geneva,CIF,Torrent,Released with Bond,EXIM_MOCK_v1
71,EXIM-149161,Doxycycline,3004.90,Oral Capsule,Mexico,Germany,Nov-24,7842.7,499.2,"3,915,075.84",Re-export,Road,Veracruz,Frankfurt Air,FOB,Hetero,Under Review,EXIM_MOCK_v1
72,EXIM-891062,Doxycycline,3004.90,Oral Capsule,UK,Italy,Nov-24,5748.3,631.73,"3,631,373.56",Re-export,Rail,Felixstowe,Milan Malpensa,DDP,Mylan,Under Review,EXIM_MOCK_v1
73,EXIM-684357,Doxycycline,3004.90,Oral Capsule,Canada,South Korea,Apr-24,12747.6,364.38,"4,644,970.49",Re-export,Sea,Vancouver,Busan,DDP,Lupin,Cleared,EXIM_MOCK_v1
74,EXIM-381502,Doxycycline,3004.90,Oral Capsule,Canada,Germany,Jul-24,3680.7,247.99,"912,776.79",Re-export,Air,Toronto Pearson,Hamburg,DDP,Dr. Reddy's,Released with Bond,EXIM_MOCK_v1
75,EXIM-417915,Doxycycline,3004.90,Oral Capsule,Japan,Italy,Oct-24,9063.7,1048.98,"9,507,640.03",Re-export,Sea,Tokyo Narita,Genoa,DAP,Hikma,Under Review,EXIM_MOCK_v1
76,EXIM-350956,Doxycycline,3004.90,Oral Capsule,Mexico,India,Apr-24,14060.5,1154.68,"16,235,378.14",Import,Air,Mexico City,Chennai Sea,CPT,Aurobindo,Cleared,EXIM_MOCK_v1
77,EXIM-203398,Doxycycline,3004.90,Oral Capsule,Canada,UK,Jan-25,4281.7,562.17,"2,407,043.29",Re-export,Road,Vancouver,Felixstowe,EXW,Teva,Released with Bond,EXIM_MOCK_v1
78,EXIM-877259,Doxycycline,3004.90,Oral Capsule,Netherlands,Italy,Aug-24,11436.4,387.68,"4,433,663.55",Re-export,Sea,Rotterdam,Milan Malpensa,EXW,Sandoz,Released with Bond,EXIM_MOCK_v1
79,EXIM-498290,Doxycycline,3004.90,Oral Capsule,Germany,India,May-24,8322,702.92,"5,849,700.24",Import,Rail,Frankfurt Air,JNPT Mumbai,EXW,Aurobindo,Under Review,EXIM_MOCK_v1
80,EXIM-276405,Losartan,3004.90,Oral Tablet,Switzerland,China,Aug-24,8282.1,1132.44,"9,378,981.32",Re-export,Road,Zurich,Shenzhen,EXW,Hetero,Cleared,EXIM_MOCK_v1
81,EXIM-957730,Losartan,3004.90,Oral Tablet,Italy,Switzerland,Jun-24,2580.5,865.77,"2,234,119.48",Re-export,Rail,Milan Malpensa,Geneva,CIF,Lupin,Cleared,EXIM_MOCK_v1
82,EXIM-578160,Losartan,3004.90,Oral Tablet,France,India,Jan-25,145.4,169.3,"24,616.22",Import,Sea,CDG Paris,Delhi Air,FOB,Sun Pharma,Under Review,EXIM_MOCK_v1
83,EXIM-678440,Losartan,3004.90,Oral Tablet,UK,India,Oct-24,9584,1121.01,"10,743,759.84",Import,Rail,Heathrow,Delhi Air,CPT,Sun Pharma,Cleared,EXIM_MOCK_v1
84,EXIM-649857,Losartan,3004.90,Oral Tablet,Japan,India,Jan-24,7964.8,333.32,"2,654,827.14",Import,Road,Tokyo Narita,JNPT Mumbai,FOB,Cipla,Cleared,EXIM_MOCK_v1
85,EXIM-581294,Losartan,3004.90,Oral Tablet,Germany,Brazil,Apr-24,9315.7,306.64,"2,856,566.25",Re-export,Road,Frankfurt Air,Sao Paulo GRU,EXW,Dr. Reddy's,Cleared,EXIM_MOCK_v1
86,EXIM-495490,Losartan,3004.90,Oral Tablet,Australia,China,Dec-24,3426.6,822.43,"2,818,138.64",Re-export,Air,Melbourne,Shenzhen,CPT,Dr. Reddy's,Cleared,EXIM_MOCK_v1
87,EXIM-653815,Losartan,3004.90,Oral Tablet,Canada,South Korea,Jan-24,9569.4,844.9,"8,085,186.06",Re-export,Air,Vancouver,Incheon,DDP,Hetero,Cleared,EXIM_MOCK_v1
88,EXIM-393992,Losartan,3004.90,Oral Tablet,Mexico,India,Apr-24,3210.7,1042.4,"3,346,833.68",Import,Courier,Mexico City,Delhi Air,DDP,Sun Pharma,Released with Bond,EXIM_MOCK_v1
89,EXIM-180674,Losartan,3004.90,Oral Tablet,Mexico,Canada,Oct-24,9888.7,219.33,"2,168,888.57",Re-export,Road,Mexico City,Vancouver,FOB,Torrent,Under Review,EXIM_MOCK_v1
90,EXIM-625119,Losartan,3004.90,Oral Tablet,Brazil,Germany,Oct-24,3645.1,1002.41,"3,653,884.69",Re-export,Rail,Santos,Hamburg,CPT,Sandoz,Released with Bond,EXIM_MOCK_v1
91,EXIM-921609,Losartan,3004.90,Oral Tablet,Italy,UK,Jan-24,1510.4,282.41,"426,552.06",Re-export,Air,Milan Malpensa,Felixstowe,EXW,Teva,Cleared,EXIM_MOCK_v1
92,EXIM-847748,Losartan,3004.90,Oral Tablet,South Korea,Canada,Apr-24,5369.4,1129.67,"6,065,650.10",Re-export,Rail,Busan,Toronto Pearson,CIF,Dr. Reddy's,Cleared,EXIM_MOCK_v1
93,EXIM-195966,Losartan,3004.90,Oral Tablet,USA,Germany,May-24,2355.6,855.45,"2,015,098.02",Re-export,Sea,New York JFK,Hamburg,CPT,Teva,Cleared,EXIM_MOCK_v1
94,EXIM-208310,Losartan,3004.90,Oral Tablet,India,UK,Aug-24,5430.8,327.37,"1,777,881.00",Export,Sea,Chennai Sea,Felixstowe,FOB,Sandoz,Under Review,EXIM_MOCK_v1
95,EXIM-917018,Losartan,3004.90,Oral Tablet,India,Germany,Jun-24,8335.6,718.32,"5,987,628.19",Export,Road,Chennai Sea,Frankfurt Air,DDP,Mylan,Cleared,EXIM_MOCK_v1
96,EXIM-245584,Losartan,3004.90,Oral Tablet,USA,Netherlands,Mar-25,8415.1,1191.31,"10,024,992.78",Re-export,Sea,New York JFK,Rotterdam,DAP,Hetero,Under Review,EXIM_MOCK_v1
97,EXIM-363926,Naltrexone,3004.90,Oral Tablet,Brazil,UK,Aug-24,2231.7,204.81,"457,074.48",Re-export,Road,Santos,Felixstowe,DDP,Hikma,Released with Bond,EXIM_MOCK_v1
98,EXIM-448354,Naltrexone,3004.90,Oral Tablet,China,Netherlands,Nov-24,7462.2,741.92,"5,536,355.42",Re-export,Rail,Shanghai,Amsterdam Schiphol,FOB,Mylan,Under Review,EXIM_MOCK_v1
99,EXIM-602278,Naltrexone,3004.90,Oral Tablet,Switzerland,Australia,Jul-24,12070.9,398.8,"4,813,874.92",Re-export,Road,Zurich,Sydney,DDP,Mylan,Under Review,EXIM_MOCK_v1
100,EXIM-956156,Naltrexone,3004.90,Oral Tablet,UK,Germany,Jul-24,14532.4,353.28,"5,134,006.27",Re-export,Rail,Felixstowe,Frankfurt Air,DAP,Teva,Under Review,EXIM_MOCK_v1
101,EXIM-842776,Naltrexone,3004.90,Oral Tablet,Netherlands,Japan,Jun-24,1752.6,678.8,"1,189,664.88",Re-export,Courier,Rotterdam,Osaka Kobe,DAP,Hetero,Under Review,EXIM_MOCK_v1
102,EXIM-364955,Naltrexone,3004.90,Oral Tablet,China,Canada,Jan-25,4405.4,832.94,"3,669,433.88",Re-export,Rail,Shenzhen,Toronto Pearson,CPT,Cipla,Cleared,EXIM_MOCK_v1
103,EXIM-670053,Naltrexone,3004.90,Oral Tablet,France,Germany,Dec-24,6375.8,455.5,"2,904,176.90",Re-export,Rail,Marseille,Frankfurt Air,DAP,Torrent,Cleared,EXIM_MOCK_v1
104,EXIM-274418,Naltrexone,3004.90,Oral Tablet,India,Switzerland,Jun-24,10539.4,975.69,"10,283,187.19",Export,Courier,JNPT Mumbai,Zurich,CPT,Dr. Reddy's,Cleared,EXIM_MOCK_v1
105,EXIM-371306,Naltrexone,3004.90,Oral Tablet,France,Australia,Jan-24,8470.1,775.81,"6,571,188.28",Re-export,Rail,CDG Paris,Sydney,EXW,Dr. Reddy's,Cleared,EXIM_MOCK_v1
106,EXIM-909859,Naltrexone,3004.90,Oral Tablet,China,Australia,Dec-24,7806,698.72,"5,454,208.32",Re-export,Courier,Shenzhen,Melbourne,CIF,Teva,Cleared,EXIM_MOCK_v1
107,EXIM-221707,Naltrexone,3004.90,Oral Tablet,France,Australia,Dec-24,7532,417.24,"3,142,651.68",Re-export,Air,Marseille,Sydney,DDP,Mylan,Cleared,EXIM_MOCK_v1
108,EXIM-559450,Naltrexone,3004.90,Oral Tablet,Switzerland,Italy,Mar-24,5257.5,414.96,"2,181,652.20",Re-export,Sea,Zurich,Milan Malpensa,DAP,Teva,Cleared,EXIM_MOCK_v1
109,EXIM-355761,Ivermectin,3004.90,Oral Tablet,UK,USA,May-24,718,854.38,"613,444.84",Re-export,Air,Heathrow,Houston,EXW,Hetero,Cleared,EXIM_MOCK_v1
110,EXIM-771590,Ivermectin,3004.90,Oral Tablet,Canada,Germany,Sep-24,2444,674.02,"1,647,304.88",Re-export,Rail,Toronto Pearson,Hamburg,CIF,Hetero,Cleared,EXIM_MOCK_v1
111,EXIM-315780,Ivermectin,3004.90,Oral Tablet,France,Japan,Jul-24,486.4,738.86,"359,381.50",Re-export,Sea,CDG Paris,Tokyo Narita,DDP,Sandoz,Cleared,EXIM_MOCK_v1
112,EXIM-579776,Ivermectin,3004.90,Oral Tablet,Brazil,Switzerland,Dec-24,12140.5,79.76,"968,326.28",Re-export,Air,Sao Paulo GRU,Geneva,DAP,Teva,Under Review,EXIM_MOCK_v1
113,EXIM-464825,Ivermectin,3004.90,Oral Tablet,USA,UK,Nov-24,12946.4,635.62,"8,228,990.77",Re-export,Road,New York JFK,Heathrow,DAP,Torrent,Cleared,EXIM_MOCK_v1
114,EXIM-223586,Ivermectin,3004.90,Oral Tablet,UK,Mexico,Aug-24,9279.6,977.42,"9,070,066.63",Re-export,Road,Heathrow,Veracruz,DAP,Hetero,Cleared,EXIM_MOCK_v1
115,EXIM-543588,Ivermectin,3004.90,Oral Tablet,China,UK,Feb-24,2786.5,833.66,"2,322,993.59",Re-export,Courier,Shanghai,Felixstowe,DDP,Torrent,Cleared,EXIM_MOCK_v1
116,EXIM-296187,Ivermectin,3004.90,Oral Tablet,Germany,Canada,Nov-24,8083.8,1103.4,"8,919,664.92",Re-export,Sea,Frankfurt Air,Toronto Pearson,DAP,Hikma,Under Review,EXIM_MOCK_v1
117,EXIM-529008,Ivermectin,3004.90,Oral Tablet,UK,Mexico,Aug-24,9310.2,1039.3,"9,676,090.86",Re-export,Air,Felixstowe,Veracruz,DDP,Aurobindo,Under Review,EXIM_MOCK_v1
118,EXIM-388204,Ivermectin,3004.90,Oral Tablet,France,South Korea,Jul-24,10666.6,535.4,"5,710,897.64",Re-export,Sea,Marseille,Incheon,FOB,Aurobindo,Cleared,EXIM_MOCK_v1
119,EXIM-912764,Ivermectin,3004.90,Oral Tablet,China,Australia,May-24,2564.7,551.5,"1,414,432.05",Re-export,Rail,Shanghai,Melbourne,DAP,Torrent,Cleared,EXIM_MOCK_v1
120,EXIM-412170,Ivermectin,3004.90,Oral Tablet,Canada,Mexico,Jun-24,8153.5,909.36,"7,414,466.76",Re-export,Rail,Toronto Pearson,Mexico City,DAP,Sandoz,Under Review,EXIM_MOCK_v1
121,EXIM-716482,Ivermectin,3004.90,Oral Tablet,Switzerland,India,Aug-24,3979.1,1035.33,"4,119,681.60",Import,Air,Geneva,Delhi Air,DDP,Aurobindo,Cleared,EXIM_MOCK_v1
122,EXIM-697766,Ivermectin,3004.90,Oral Tablet,Italy,UK,Feb-25,10675.8,761.16,"8,125,991.93",Re-export,Sea,Milan Malpensa,Heathrow,DAP,Aurobindo,Under Review,EXIM_MOCK_v1
123,EXIM-886530,Ivermectin,3004.90,Oral Tablet,UK,Australia,May-24,8973,206.21,"1,850,322.33",Re-export,Road,Heathrow,Sydney,EXW,Lupin,Released with Bond,EXIM_MOCK_v1
124,EXIM-511776,Atorvastatin,3004.90,Oral Tablet,Mexico,India,May-24,13012.4,156.63,"2,038,132.21",Import,Sea,Mexico City,Delhi Air,CIF,Teva,Under Review,EXIM_MOCK_v1
