#,NCT_ID,Molecule Name,DrugBank_ID,Sponsor,Phase,Status,Indication (Trial),Therapy Area,Enrollment Target,Start Date,Est. Completion Date,Primary Endpoint,Secondary Endpoint,Country,Results Available,Repurposing Trial?,Source
36,NCT34347841,Rituximab,DB00073,Startup Biotech,Phase II,Completed,Oncology — primary indication,Oncology,662,Nov-2021,May-2025,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",India,No,No,ClinicalTrials.gov_MOCK
37,NCT22315507,Rituximab,DB00073,AbbVie,Completed,Not yet recruiting,Oncology — primary indication,Oncology,172,Oct-2020,Mar-2026,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",India,Yes,No,ClinicalTrials.gov_MOCK
38,NCT53537934,Pembrolizumab,DB09037,J&J,Phase IV,Terminated,Oncology — primary indication,Oncology,728,Nov-2020,Jun-2025,CDAI remission rate at week 12,"Mayo endoscopic score, CRP, Fecal calprotectin",Brazil,Yes,No,ClinicalTrials.gov_MOCK
39,NCT20949687,Pembrolizumab,DB09037,Novartis,Completed,Recruiting,Oncology — primary indication,Oncology,348,Nov-2020,Feb-2026,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",India,Yes,No,ClinicalTrials.gov_MOCK
40,NCT46663833,Pembrolizumab,DB09037,AbbVie,Phase IV,Not yet recruiting,Oncology — primary indication,Oncology,1024,May-2023,Aug-2025,LVEF improvement ≥5% at 12 months,"6-min walk distance, BNP levels, Hospitalization rate",Japan,Yes,No,ClinicalTrials.gov_MOCK
41,NCT75314742,Ozempic/Semaglutide,DB13928,Pfizer,Phase III,Terminated,Diabetes/Metabolic — primary indication,Diabetes/Metabolic,610,Oct-2023,Apr-2026,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",Australia,No,No,ClinicalTrials.gov_MOCK
42,NCT11031743,Ozempic/Semaglutide,DB13928,Novartis,Terminated,Completed,Diabetes/Metabolic — primary indication,Diabetes/Metabolic,481,Mar-2022,Feb-2026,LVEF improvement ≥5% at 12 months,"6-min walk distance, BNP levels, Hospitalization rate",India,No,No,ClinicalTrials.gov_MOCK
43,NCT76757928,Dupilumab,DB11699,AstraZeneca,Phase II,"Active, not recruiting",Immunology — primary indication,Immunology,622,Nov-2021,Oct-2024,SCORAD index reduction at week 16,"IGA score, EASI, DLQI, Pruritus NRS",India,No,No,ClinicalTrials.gov_MOCK
44,NCT84990607,Dupilumab,DB11699,AbbVie,Phase II,"Active, not recruiting",Immunology — primary indication,Immunology,1120,Dec-2023,Jan-2025,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Canada,No,No,ClinicalTrials.gov_MOCK
45,NCT20450542,Dupilumab,DB11699,Startup Biotech,Phase I,Terminated,Immunology — primary indication,Immunology,116,Jun-2022,Jun-2024,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",South Korea,No,No,ClinicalTrials.gov_MOCK
46,NCT48858073,Dupilumab,DB11699,Eli Lilly,Completed,Terminated,Immunology — primary indication,Immunology,858,Dec-2023,Mar-2026,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",Japan,Yes,No,ClinicalTrials.gov_MOCK
47,NCT58567046,Lecanemab,DB16880,Roche,Phase I,Completed,CNS/Neurology — primary indication,CNS/Neurology,972,Aug-2024,May-2026,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",Mexico,No,No,ClinicalTrials.gov_MOCK
48,NCT20555833,Lecanemab,DB16880,Merck,Phase IV,Recruiting,CNS/Neurology — primary indication,CNS/Neurology,922,Apr-2023,Jul-2025,SCORAD index reduction at week 16,"IGA score, EASI, DLQI, Pruritus NRS",Canada,Yes,No,ClinicalTrials.gov_MOCK
49,NCT78515906,Lecanemab,DB16880,Sanofi,Phase III,Not yet recruiting,CNS/Neurology — primary indication,CNS/Neurology,483,Nov-2021,Nov-2024,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",USA,No,No,ClinicalTrials.gov_MOCK
50,NCT29822594,Lecanemab,DB16880,Merck,Completed,Withdrawn,CNS/Neurology — primary indication,CNS/Neurology,745,Dec-2021,Mar-2026,LVEF improvement ≥5% at 12 months,"6-min walk distance, BNP levels, Hospitalization rate",Switzerland,Yes,No,ClinicalTrials.gov_MOCK
51,NCT97980930,Lecanemab,DB16880,AstraZeneca,Phase I,"Active, not recruiting",CNS/Neurology — primary indication,CNS/Neurology,434,Dec-2020,Feb-2026,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",Germany,No,No,ClinicalTrials.gov_MOCK
52,NCT85764804,Risdiplam,DB15462,J&J,Terminated,Terminated,Rare Diseases — primary indication,Rare Diseases,1184,Apr-2024,Jan-2026,CDAI remission rate at week 12,"Mayo endoscopic score, CRP, Fecal calprotectin",South Korea,No,No,ClinicalTrials.gov_MOCK
53,NCT69352161,Risdiplam,DB15462,Sanofi,Phase III,Not yet recruiting,Rare Diseases — primary indication,Rare Diseases,339,Jun-2022,Aug-2024,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",South Korea,No,No,ClinicalTrials.gov_MOCK
54,NCT71974027,Risdiplam,DB15462,Novartis,Phase III,Withdrawn,Rare Diseases — primary indication,Rare Diseases,750,Nov-2022,Aug-2024,FEV1 improvement ≥10% from baseline,"Exacerbation rate, CAT score, SGRQ",Brazil,No,No,ClinicalTrials.gov_MOCK
55,NCT89736043,Tezepelumab,DB15687,AstraZeneca,Phase I,Completed,Respiratory — primary indication,Respiratory,187,Aug-2023,Sep-2024,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",Australia,No,No,ClinicalTrials.gov_MOCK
56,NCT86726461,Tezepelumab,DB15687,Eli Lilly,Phase IV,Terminated,Respiratory — primary indication,Respiratory,1165,Jun-2024,Jul-2024,LVEF improvement ≥5% at 12 months,"6-min walk distance, BNP levels, Hospitalization rate",South Korea,Yes,No,ClinicalTrials.gov_MOCK
57,NCT56095437,Faricimab,DB16100,BMS,Completed,Terminated,Ophthalmology — primary indication,Ophthalmology,338,May-2020,Sep-2025,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",USA,Yes,No,ClinicalTrials.gov_MOCK
58,NCT68978194,Faricimab,DB16100,Roche,Completed,Not yet recruiting,Ophthalmology — primary indication,Ophthalmology,110,May-2021,May-2026,Viral load reduction (log10) at 48 weeks,"CD4 count, Resistance mutations, Tolerability",South Korea,Yes,No,ClinicalTrials.gov_MOCK
59,NCT64864099,Faricimab,DB16100,Roche,Completed,Withdrawn,Ophthalmology — primary indication,Ophthalmology,775,Feb-2022,Mar-2025,ADAS-Cog11 change from baseline,"MMSE, CDR-SB, Amyloid PET clearance",Japan,Yes,No,ClinicalTrials.gov_MOCK
60,NCT84888554,Faricimab,DB16100,Novartis,Terminated,Withdrawn,Ophthalmology — primary indication,Ophthalmology,715,May-2020,May-2025,SCORAD index reduction at week 16,"IGA score, EASI, DLQI, Pruritus NRS",USA,No,No,ClinicalTrials.gov_MOCK
61,NCT99068509,Vonoprazan,DB11753,Academic/NIH,Phase III,Not yet recruiting,Gastroenterology — primary indication,Gastroenterology,337,Nov-2021,Aug-2024,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",Australia,No,No,ClinicalTrials.gov_MOCK
62,NCT21370793,Vonoprazan,DB11753,Academic/NIH,Phase III,Completed,Gastroenterology — primary indication,Gastroenterology,832,Sep-2020,Jan-2026,Pain VAS score reduction ≥30%,"PGIC score, Rescue medication use, Fatigue scale",Italy,No,No,ClinicalTrials.gov_MOCK
63,NCT80651318,Vonoprazan,DB11753,Academic/NIH,Completed,Terminated,Gastroenterology — primary indication,Gastroenterology,702,Jul-2024,Oct-2024,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",France,Yes,No,ClinicalTrials.gov_MOCK
64,NCT51455302,Vonoprazan,DB11753,AbbVie,Terminated,Not yet recruiting,Gastroenterology — primary indication,Gastroenterology,1071,Jan-2022,Jun-2024,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",UK,No,No,ClinicalTrials.gov_MOCK
65,NCT49700543,Belzutifan,DB16126,Merck,Phase III,Terminated,Oncology — primary indication,Oncology,493,Oct-2020,Nov-2024,Progression-Free Survival (PFS),"Duration of Response (DoR), Patient-reported outcomes",USA,No,No,ClinicalTrials.gov_MOCK
66,NCT92950779,Belzutifan,DB16126,Startup Biotech,Completed,Withdrawn,Oncology — primary indication,Oncology,1108,Mar-2020,Apr-2026,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",UK,Yes,No,ClinicalTrials.gov_MOCK
67,NCT93851247,Belzutifan,DB16126,Roche,Completed,Terminated,Oncology — primary indication,Oncology,362,Jan-2021,May-2026,HbA1c reduction from baseline at 26 weeks,"Fasting glucose, Body weight, Lipid profile",Netherlands,Yes,No,ClinicalTrials.gov_MOCK
